geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((19.846401240878265 49.99127756111087, 19.842377011853017 49.98864907003032, 19.8383338540278 49.99061717340358, 19.838314890100108 49.995213352638494, 19.84233879559539 49.99784174525711, 19.8463819885322 49.9958740571203, 19.846401240878265 49.99127756111087, 19.846401240878265 49.99127756111087))",885262cd43fffff,0.0,1118.3795736670968,9183.22202707281,21771.067622039212,12682.678770176693,16
"POLYGON ((20.04388406156782 50.055816856277985, 20.039861045199167 50.05318324871072, 20.035810789489197 50.05515074074808, 20.035783517156627 50.05975142346063, 20.03980621076298 50.062384931372506, 20.043856499448154 50.06041785624484, 20.04388406156782 50.055816856277985, 20.04388406156782 50.055816856277985))",885262c2c3fffff,0.0,968.8206357908847,9874.74581523464,9153.125239573477,3307.9162711774934,0
"POLYGON ((20.05994690875779 50.07095335122119, 20.055924432914114 50.06831931949123, 20.051873786523377 50.07028608699125, 20.051845583259535 50.07488646918204, 20.055867736425945 50.07752040103482, 20.059918415517405 50.075554050591535, 20.05994690875779 50.07095335122119, 20.05994690875779 50.07095335122119))",885262d533fffff,943.6586459803686,1593.221644837088,14454.353318912392,107747.2693844771,5137.326424933923,28
"POLYGON ((19.987747715273386 49.98213708207348, 19.983721902541397 49.97950497684762, 19.979672633950994 49.98147641554735, 19.97964914393139 49.986079543119324, 19.98367463356165 49.98871154972709, 19.98772393629717 49.98674052739859, 19.987747715273386 49.98213708207348, 19.987747715273386 49.98213708207348))",885262c02dfffff,0.0,1268.207988783782,10042.110388670686,66265.35705335019,7102.486825761335,3
"POLYGON ((20.124544798524333 50.076295015788574, 20.120522050158655 50.073659319856255, 20.116468809782333 50.07562696230559, 20.116438285594366 50.08022988311655, 20.12046071150488 50.08286547897851, 20.12451398404247 50.08089825411742, 20.124544798524333 50.076295015788574, 20.124544798524333 50.076295015788574))",885262d73bfffff,0.0,0.0,1364.027163893858,126099.04872761582,9557.427850080636,19
"POLYGON ((20.160939122406294 50.072394891524205, 20.156915919515413 50.06975826262994, 20.15286109406404 50.071726870138605, 20.15282943955984 50.07633168867836, 20.15685232010636 50.07896821748032, 20.160907177485388 50.07700002785236, 20.160939122406294 50.072394891524205, 20.160939122406294 50.072394891524205))",885262d75dfffff,530.9517005964735,1687.6074866928393,10483.560912625493,3456.9415194876437,11917.077489634521,4
"POLYGON ((19.999600941530872 50.03145393613325, 19.995577206843894 50.02882148471846, 19.991528352662183 50.03078978872961, 19.9915031995963 50.0353901276501, 19.99552661132543 50.03802247980212, 19.999575499062235 50.036054592314095, 19.999600941530872 50.03145393613325, 19.999600941530872 50.03145393613325))",885262c01bfffff,0.0,0.0,23217.99860431467,88871.66523870468,1518.4095728049103,99
"POLYGON ((19.92653176821591 50.10819301878747, 19.922512019601307 50.10556238553615, 19.918467658350707 50.10752405758263, 19.918443012373725 50.11211594688562, 19.92246243796417 50.114746480052204, 19.92650683253959 50.11278522401791, 19.92653176821591 50.10819301878747, 19.92653176821591 50.10819301878747))",885262c53bfffff,0.0,1727.345498007372,23399.67063768854,7637.7765939389765,8890.273284681,11
"POLYGON ((19.906886177211007 50.00313176963144, 19.90286195887676 50.00050171919022, 19.89881647202405 50.00247017498612, 19.898795168951427 50.00706826550127, 19.902819063971474 50.00969821721516, 19.906864585362225 50.00773017715882, 19.906886177211007 50.00313176963144, 19.906886177211007 50.00313176963144))",885262cf5dfffff,0.0,2475.4639505641785,38077.19487288265,77376.12221932258,8260.305386314974,112
"POLYGON ((20.05578181378209 50.091319684882556, 20.051760271224005 50.08868574516718, 20.047710176434734 50.09065104314048, 20.047681591662503 50.095249863801854, 20.051702811574447 50.09788370339201, 20.055752938888748 50.09591882246333, 20.05578181378209 50.091319684882556, 20.05578181378209 50.091319684882556))",885262d5e3fffff,0.0,904.44121405895,24408.93028714774,3228.245623145195,6511.43454306533,79
